Time (ms),Measured Pitch,Commanded Pitch
16912.0,-2.02,-2.29
16921.0,-2.1,-2.29
16930.0,-2.16,-2.29
16941.0,-2.08,-2.29
16950.0,-2.03,-2.29
16960.0,-2.1,-2.29
16969.0,-2.18,-2.29
16978.0,-2.1,-2.29
16989.0,-2.03,-2.29
16998.0,-1.97,-2.29
17008.0,-2.06,-2.29
17017.0,-2.14,-2.29
17027.0,-2.18,-2.29
17037.0,-2.12,-2.29
17046.0,-2.06,-2.29
17056.0,-2.13,-2.29
17065.0,-2.05,-2.29
17075.0,-1.98,-2.29
17085.0,-1.91,-2.29
17094.0,-1.84,-2.29
17104.0,-1.92,-2.29
17114.0,-2.0,-2.29
17123.0,-2.06,0.0
17133.0,-2.06,0.0
17142.0,-2.14,0.0
17153.0,-2.09,0.0
17162.0,-1.78,0.0
17171.0,-1.24,0.0
17181.0,-0.55,0.0
17190.0,-0.15,0.0
17201.0,-0.19,0.0
17210.0,-0.45,0.0
17219.0,-0.77,0.0
17229.0,-0.72,0.0
17239.0,-0.47,0.0
17249.0,-0.12,0.0
17258.0,-0.04,0.0
17267.0,-0.09,0.0
17277.0,-0.38,0.0
17287.0,-0.56,0.0
17296.0,-0.55,0.0
17306.0,-0.51,0.0
17315.0,-0.41,0.0
17326.0,-0.41,0.0
17335.0,-0.43,0.0
17344.0,-0.49,0.0
17354.0,-0.52,0.0
17363.0,-0.44,0.0
17374.0,-0.4,0.0
17383.0,-0.37,0.0
17392.0,-0.43,0.0
17402.0,-0.36,0.0
17412.0,-0.28,0.0
17422.0,-0.23,0.0
17431.0,-0.32,0.0
17440.0,-0.4,0.0
17451.0,-0.32,0.0
17460.0,-0.26,0.0
17470.0,-0.19,0.0
17479.0,-0.27,0.0
17488.0,-0.19,0.0
17499.0,-0.12,0.0
17508.0,-0.06,0.0
17518.0,-0.14,0.0
17527.0,-0.21,0.0
17537.0,-0.14,0.0
17547.0,-0.06,0.0
17556.0,0.01,0.0
17566.0,-0.08,0.0
17575.0,-0.0,0.0
17585.0,0.07,0.0
17595.0,0.13,0.0
17604.0,0.06,0.0
17614.0,0.01,0.0
17624.0,-0.02,0.0
17633.0,-0.04,-4.58
17643.0,-0.13,-4.58
17652.0,-0.17,-4.58
17662.0,-0.1,-4.58
17672.0,-0.21,-4.58
17681.0,-0.87,-4.58
17691.0,-2.08,-4.58
17700.0,-3.6,-4.58
17711.0,-4.71,-4.58
17720.0,-4.9,-4.58
17729.0,-4.51,-4.58
17739.0,-3.97,-4.58
17748.0,-3.69,-4.58
17758.0,-3.88,-4.58
17768.0,-4.35,-4.58
17777.0,-4.69,-4.58
17787.0,-4.65,-4.58
17797.0,-4.46,-4.58
17806.0,-4.12,-4.58
17816.0,-3.96,-4.58
17825.0,-4.05,-4.58
17836.0,-4.21,-4.58
17845.0,-4.33,-4.58
17854.0,-4.29,-4.58
17864.0,-4.23,-4.58
17873.0,-4.15,-4.58
17884.0,-4.17,-4.58
17893.0,-4.24,-4.58
17902.0,-4.3,-4.58
17912.0,-4.33,-4.58
17922.0,-4.23,-4.58
17932.0,-4.18,-4.58
17941.0,-4.23,-4.58
17950.0,-4.33,-4.58
17960.0,-4.38,-4.58
17970.0,-4.29,-4.58
17980.0,-4.22,-4.58
17989.0,-4.18,-4.58
17998.0,-4.27,-4.58
18009.0,-4.34,-4.58
18018.0,-4.26,-4.58
18028.0,-4.2,-4.58
18037.0,-4.3,-4.58
18046.0,-4.37,-4.58
18057.0,-4.44,-4.58
18066.0,-4.36,-4.58
18076.0,-4.29,-4.58
18085.0,-4.38,-4.58
18095.0,-4.46,-4.58
18105.0,-4.39,-4.58
18114.0,-4.32,-4.58
18124.0,-4.29,-4.58
18134.0,-4.38,-4.58
18143.0,-4.45,0.0
18153.0,-4.52,0.0
18162.0,-4.54,0.0
18171.0,-4.17,0.0
18182.0,-3.18,0.0
18191.0,-1.91,0.0
18201.0,-0.56,0.0
18210.0,0.41,0.0
18220.0,0.61,0.0
18230.0,0.27,0.0
18239.0,-0.27,0.0
18249.0,-0.4,0.0
18258.0,-0.12,0.0
18268.0,0.32,0.0
18278.0,0.62,0.0
18287.0,0.53,0.0
18297.0,0.22,0.0
18307.0,-0.01,0.0
18316.0,0.0,0.0
18326.0,0.16,0.0
18335.0,0.38,0.0
18345.0,0.46,0.0
18355.0,0.42,0.0
18364.0,0.3,0.0
18374.0,0.25,0.0
18383.0,0.24,0.0
18394.0,0.31,0.0
18403.0,0.34,0.0
18412.0,0.28,0.0
18422.0,0.21,0.0
18432.0,0.18,0.0
18442.0,0.24,0.0
18451.0,0.25,0.0
18460.0,0.16,0.0
18470.0,0.1,0.0
18480.0,0.17,0.0
18490.0,0.21,0.0
18499.0,0.14,0.0
18508.0,0.07,0.0
18519.0,0.02,0.0
18528.0,0.07,0.0
18538.0,0.06,0.0
18547.0,-0.02,0.0
18556.0,-0.1,0.0
18567.0,-0.05,0.0
18576.0,0.02,0.0
18586.0,-0.04,0.0
18595.0,-0.12,0.0
18605.0,-0.05,0.0
18615.0,0.03,0.0
18624.0,0.09,0.0
18634.0,0.02,0.0
18643.0,-0.05,0.0
18653.0,-0.12,-6.3
18663.0,-0.06,-6.3
18672.0,0.01,-6.3
18681.0,0.05,-6.3
18692.0,-0.24,-6.3
18701.0,-1.19,-6.3
18711.0,-2.62,-6.3
18720.0,-4.22,-6.3
18729.0,-5.78,-6.3
18740.0,-6.72,-6.3
18749.0,-7.06,-6.3
18759.0,-6.94,-6.3
18768.0,-6.6,-6.3
18778.0,-6.44,-6.3
18788.0,-6.61,-6.3
18797.0,-6.93,-6.3
18807.0,-7.07,-6.3
18817.0,-7.02,-6.3
18826.0,-6.81,-6.3
18836.0,-6.71,-6.3
18845.0,-6.74,-6.3
18855.0,-6.89,-6.3
18865.0,-7.04,-6.3
18874.0,-7.07,-6.3
18884.0,-6.95,-6.3
18893.0,-6.86,-6.3
18904.0,-6.82,-6.3
18913.0,-6.8,-6.3
18922.0,-6.86,-6.3
18932.0,-6.87,-6.3
18941.0,-6.8,-6.3
18951.0,-6.76,-6.3
18961.0,-6.78,-6.3
18970.0,-6.84,-6.3
18980.0,-6.77,-6.3
18990.0,-6.7,-6.3
18999.0,-6.64,-6.3
19009.0,-6.62,-6.3
19018.0,-6.6,-6.3
19028.0,-6.52,-6.3
19038.0,-6.47,-6.3
19047.0,-6.45,-6.3
19057.0,-6.54,-6.3
19066.0,-6.61,-6.3
19077.0,-6.52,-6.3
19086.0,-6.46,-6.3
19095.0,-6.48,-6.3
19105.0,-6.55,-6.3
19115.0,-6.48,-6.3
19125.0,-6.41,-6.3
19134.0,-6.35,-6.3
19143.0,-6.44,-6.3
19153.0,-6.51,-6.3
19163.0,-6.59,0.0
19173.0,-6.52,0.0
19182.0,-6.44,0.0
19191.0,-6.21,0.0
19202.0,-5.29,0.0
19211.0,-3.79,0.0
19221.0,-2.2,0.0
19230.0,-0.82,0.0
19239.0,-0.17,0.0
19250.0,-0.18,0.0
19259.0,-0.45,0.0
19269.0,-0.88,0.0
19278.0,-0.98,0.0
19288.0,-0.81,0.0
19298.0,-0.48,0.0
19307.0,-0.31,0.0
19317.0,-0.38,0.0
19326.0,-0.57,0.0
19336.0,-0.68,0.0
19346.0,-0.66,0.0
19355.0,-0.52,0.0
19365.0,-0.46,0.0
19375.0,-0.49,0.0
19384.0,-0.58,0.0
19394.0,-0.61,0.0
19403.0,-0.51,0.0
19412.0,-0.45,0.0
19423.0,-0.4,0.0
19432.0,-0.43,0.0
19442.0,-0.48,0.0
19451.0,-0.42,0.0
19461.0,-0.36,0.0
19471.0,-0.32,0.0
19480.0,-0.37,0.0
19490.0,-0.33,0.0
19500.0,-0.27,0.0
19509.0,-0.22,0.0
19519.0,-0.27,0.0
19528.0,-0.29,0.0
19538.0,-0.21,0.0
19548.0,-0.17,0.0
19557.0,-0.19,0.0
19567.0,-0.19,0.0
19576.0,-0.12,0.0
19587.0,-0.08,0.0
